D,200017410,2/2/2025,bridgewater,1000
D,200017410,2/2/2025,piscataway,1000
D,200017410,2/3/2025,princeton,1000
D,200017410,2/3/2025,edison,1000
D,200017410,2/4/2025,bridgewater,1000
D,200017410,2/5/2025,edison,1000
D,200017410,2/6/2025,edison,1000
W,200017410,2/8/2025,bridgewater,500
W,200017410,2/10/2025,edison,500
W,200017410,2/10/2025,bridgewater,500
W,200017410,2/10/2025,piscataway,500
W,200017410,2/10/2025,warren,500
W,200017410,2/10/2025,piscataway,500
W,100024566,2/1/2025,warren,100
D,300019048,2/2/2025,Princeton,300
W,500011866,2/2/2025,edison,150
D,100026682,2/3/2025,edison,400
D,400027003,2/3/2025,warren,200
W,200037979,2/5/2025,princeton,500
W,300031134,2/7/2025,warren,1000
W,300031134,2/7/2025,warren,1000
D,300049232,2/7/2025,warren,200
